TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,66307000,6083000,9.17
2018-10-02,75827000,7884000,10.4
2018-10-03,93416000,12670000,13.56
2018-10-04,71197000,9978000,14.01
2018-10-05,89175000,7540000,8.46
2018-10-08,70094000,6828000,9.74
2018-10-09,55363000,7097000,12.82
2018-10-10,71478000,9025000,12.63
2018-10-11,81979000,9527000,11.62
2018-10-12,60381000,3853000,6.38
2018-10-15,47367000,5706000,12.05
2018-10-16,68873000,1962000,2.85
2018-10-17,81065000,2790000,3.44
2018-10-18,89996000,6291000,6.99
2018-10-19,44459000,4597000,10.34
2018-10-22,39312000,1617000,4.11
2018-10-23,90381000,4066000,4.5
2018-10-24,64459000,4572000,7.09
2018-10-25,85942000,4958000,5.77
2018-10-26,56081000,2563000,4.57
2018-10-29,71939000,4537000,6.31
2018-10-30,75434000,4746000,6.29
2018-10-31,113782000,7612000,6.69
2018-11-01,98974000,7859000,7.94
2018-11-02,66837000,7275000,10.88
2018-11-06,77404000,5089000,6.57
2018-11-07,59323000,5993000,10.1
2018-11-08,97832000,7733000,7.9
2018-11-09,139818000,8774000,6.28
2018-11-12,52631000,2533000,4.81
2018-11-13,118447000,4247000,3.59
2018-11-14,82647000,7634000,9.24
2018-11-15,37038000,2284000,6.17
2018-11-16,60580000,5421000,8.95
2018-11-19,54862000,3286000,5.99
2018-11-20,52377000,6583000,12.57
2018-11-21,61834000,13090000,21.17
2018-11-22,43364000,6066000,13.99
2018-11-23,46334000,7972000,17.21
2018-11-26,88371000,13479000,15.25
2018-11-27,46022000,7348000,15.97
2018-11-28,50386000,6432000,12.77
2018-11-29,78937000,8657000,10.97
2018-11-30,118284000,9267000,7.83
2018-12-03,90699000,16943000,18.68
2018-12-04,98634000,11020000,11.17
2018-12-05,99405000,10053000,10.11
2018-12-06,94339000,10792000,11.44
2018-12-07,127255000,18220000,14.32
2018-12-10,54218000,6586000,12.15
2018-12-11,105390000,9389000,8.91
2018-12-12,53688000,5651000,10.53
2018-12-13,93103000,6286000,6.75
2018-12-14,44728000,4296000,9.6
2018-12-17,57517000,2920000,5.08
2018-12-18,88593000,9665000,10.91
2018-12-19,74903000,3057000,4.08
2018-12-20,99662000,4726000,4.74
2018-12-21,147502000,3538000,2.4
